Sun Jun 27 21:50:15 2021    cprofile.prof

         15545163 function calls (14716914 primitive calls) in 21.072 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    721/1    0.004    0.000   21.073   21.073 {built-in method builtins.exec}
        1    0.016    0.016   21.073   21.073 example.py:1(<module>)
     5000    0.031    0.000   12.301    0.002 RBF_MRAN.py:199(train)
     4999    2.970    0.001   12.239    0.002 RBF_MRAN.py:127(update_rbf)
        1    0.001    0.001    6.994    6.994 plot.py:141(plot_study)
1354456/565467    1.508    0.000    6.681    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    5.560    5.560 pyplot.py:325(show)
        1    0.000    0.000    5.560    5.560 backend_bases.py:3561(show)
        1    0.000    0.000    5.560    5.560 _backend_tk.py:893(mainloop)
        1    0.000    0.000    5.560    5.560 __init__.py:1418(mainloop)
        1    4.824    4.824    5.560    5.560 {method 'mainloop' of '_tkinter.tkapp' objects}
     4982    1.667    0.000    4.042    0.001 RBF.py:170(calc_PI)
   307710    0.150    0.000    3.309    0.000 <__array_function__ internals>:2(hstack)
   307710    0.378    0.000    2.676    0.000 shape_base.py:286(hstack)
     9999    0.136    0.000    2.517    0.000 RBF.py:186(calc_f)
   307744    0.132    0.000    1.492    0.000 <__array_function__ internals>:2(atleast_1d)
     9998    0.008    0.000    1.468    0.000 <__array_function__ internals>:2(apply_along_axis)
     9998    0.371    0.000    1.446    0.000 shape_base.py:267(apply_along_axis)
     4982    0.113    0.000    1.225    0.000 RBF.py:81(gen_chi)
     5000    0.019    0.000    1.185    0.000 RBF_MRAN.py:226(test)
   307744    0.510    0.000    1.171    0.000 shape_base.py:24(atleast_1d)
     4998    0.140    0.000    1.134    0.000 RBF.py:142(prune_unit)
5105/1599    0.010    0.000    1.043    0.001 deprecation.py:404(wrapper)
     4999    0.058    0.000    1.012    0.000 RBF_MRAN.py:95(_calc_error_criteria)
    77052    0.195    0.000    0.976    0.000 RBF.py:146(must_prune)
   328818    0.177    0.000    0.897    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.880    0.880 plot.py:10(plot_pre_res)
     4999    0.158    0.000    0.868    0.000 RBF.py:114(get_closest_unit_myu_and_dist)
        3    0.000    0.000    0.858    0.286 pyplot.py:934(savefig)
        3    0.000    0.000    0.858    0.286 figure.py:2820(savefig)
        3    0.000    0.000    0.858    0.286 backend_bases.py:2119(print_figure)
        9    0.000    0.000    0.857    0.095 backend_agg.py:399(draw)
        3    0.000    0.000    0.856    0.285 backend_bases.py:1627(wrapper)
        3    0.000    0.000    0.856    0.285 backend_agg.py:459(print_png)
        9    0.000    0.000    0.835    0.093 artist.py:72(draw_wrapper)
   2379/9    0.007    0.000    0.835    0.093 artist.py:33(draw_wrapper)
        9    0.000    0.000    0.835    0.093 figure.py:2713(draw)
